,garden,basement,elevator,balcony,floor,n_rooms,sq_meters,construction_year,price,unemployment,share_green,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart,pred_price
3153,Nein,Nein,Nein,Nein,5,3,113,1891,528251.0,Durchschnittlich,Durchschnittlich,1,0,0,0,0,0,0,520921.06
3167,Nein,Ja,Ja,Nein,5,3,101,2019,625000.0,Unterdurchschnittlich,Überdurchschnittlich,1,0,0,0,0,0,0,658651.1
3208,Nein,Ja,Nein,Ja,-1,3,99,1910,457900.0,Überdurchschnittlich,Unterdurchschnittlich,1,0,0,0,0,0,0,441817.1
4046,Ja,Ja,Nein,Ja,-1,2,73,1993,305000.0,Durchschnittlich,Durchschnittlich,1,0,0,0,0,0,0,328787.6
4064,Nein,Nein,Ja,Ja,3,2,67,1983,309900.0,Durchschnittlich,Überdurchschnittlich,1,0,0,0,0,0,0,353499.78
4216,Ja,Ja,Nein,Nein,-1,3,79,1998,349000.0,Unterdurchschnittlich,Unterdurchschnittlich,1,0,0,0,0,0,0,385774.97
4720,Ja,Nein,Nein,Nein,-1,2,63,1900,510480.0,Durchschnittlich,Überdurchschnittlich,1,0,0,0,0,0,0,370516.47
4840,Nein,Ja,Ja,Ja,3,2,66,2023,595000.0,Durchschnittlich,Überdurchschnittlich,1,0,0,0,0,0,0,561446.8
4874,Nein,Ja,Ja,Ja,5,3,80,1989,600000.0,Überdurchschnittlich,Überdurchschnittlich,1,0,0,0,0,0,0,438246.66
4978,Nein,Ja,Ja,Ja,3,4,145,1900,676962.0,Unterdurchschnittlich,Durchschnittlich,1,0,0,0,0,0,0,618062.25
