,garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart,pred_price
3153,False,False,False,False,5.0,3.0,113.31,1891.0,528251.0,2,2,1,0,0,0,0,0,0,520921.06
4163,False,False,False,False,3.0,2.0,60.53,1910.0,339000.0,3,2,1,0,0,0,0,0,0,335500.88
4225,False,True,True,True,1.0,3.0,58.68,2021.0,349000.0,3,1,1,0,0,0,0,0,0,365502.62
4277,False,True,False,True,2.0,3.0,67.33,1912.0,359440.8,1,3,1,0,0,0,0,0,0,366908.44
4423,False,True,False,True,1.0,2.0,59.88,1906.0,399000.0,1,3,1,0,0,0,0,0,0,376572.6
4539,False,True,True,False,6.0,2.0,58.0,1958.0,440000.0,1,3,1,0,0,0,0,0,0,369548.66
4656,True,True,False,True,3.0,3.0,98.82,1897.0,490000.0,2,3,1,0,0,0,0,0,0,459278.2
4706,False,True,True,True,4.0,3.0,74.82,1905.0,500000.0,1,3,1,0,0,0,0,0,0,485157.1
4975,False,False,True,False,5.0,3.0,74.95,2022.0,672550.0,2,2,1,0,0,0,0,0,0,640102.7
5001,False,True,True,True,4.0,3.0,111.97,1900.0,695803.0,1,2,1,0,0,0,0,0,0,573598.56
